Province/State,Country,Date last updated,Confirmed,Suspected,Recovered,Deaths
Ningxia,Mainland China,1/22/20 12:00,1.0,,,
Qinghai,Mainland China,1/22/20 12:00,,,,
Shaanxi,Mainland China,1/22/20 12:00,,,,
Shandong,Mainland China,1/22/20 12:00,2.0,,,
Shanghai,Mainland China,1/22/20 12:00,9.0,10.0,,
Shanxi,Mainland China,1/22/20 12:00,1.0,,,
Sichuan,Mainland China,1/22/20 12:00,5.0,2.0,,
Taiwan,Taiwan,1/22/20 12:00,1.0,,,
Tianjin,Mainland China,1/22/20 12:00,4.0,,,
Tibet,Mainland China,1/22/20 12:00,,,,
Washington,US,1/22/20 12:00,1.0,,,
Xinjiang,Mainland China,1/22/20 12:00,,,,
Yunnan,Mainland China,1/22/20 12:00,1.0,,,
Zhejiang,Mainland China,1/22/20 12:00,10.0,,,
,Japan,1/22/20 12:00,2.0,,,
,Thailand,1/22/20 12:00,2.0,,,
,South Korea,1/22/20 12:00,1.0,,,
Anhui,Mainland China,1/23/20 12:00,9.0,4.0,,
Beijing,Mainland China,1/23/20 12:00,22.0,,,
Chongqing,Mainland China,1/23/20 12:00,9.0,,,
Fujian,Mainland China,1/23/20 12:00,5.0,2.0,,
Gansu,Mainland China,1/23/20 12:00,2.0,,,
Guangdong,Mainland China,1/23/20 12:00,32.0,1.0,2.0,
Guangxi,Mainland China,1/23/20 12:00,5.0,,,
Guizhou,Mainland China,1/23/20 12:00,3.0,,,
Hainan,Mainland China,1/23/20 12:00,5.0,32.0,,
Hebei,Mainland China,1/23/20 12:00,1.0,,,1.0
Heilongjiang,Mainland China,1/23/20 12:00,2.0,,,
Henan,Mainland China,1/23/20 12:00,5.0,,,
Hong Kong,Hong Kong,1/23/20 12:00,2.0,65.0,,
Hubei,Mainland China,1/23/20 12:00,444.0,,28.0,17.0
Hunan,Mainland China,1/23/20 12:00,9.0,,,
Inner Mongolia,Mainland China,1/23/20 12:00,,1.0,,
Jiangsu,Mainland China,1/23/20 12:00,5.0,,,
Jiangxi,Mainland China,1/23/20 12:00,7.0,,,
Jilin,Mainland China,1/23/20 12:00,1.0,,,
Liaoning,Mainland China,1/23/20 12:00,3.0,,,
Macau,Macau,1/23/20 12:00,2.0,,,
Ningxia,Mainland China,1/23/20 12:00,1.0,,,
Qinghai,Mainland China,1/23/20 12:00,,,,
Shaanxi,Mainland China,1/23/20 12:00,3.0,1.0,,
Shandong,Mainland China,1/23/20 12:00,6.0,2.0,,
Shanghai,Mainland China,1/23/20 12:00,16.0,22.0,,
Shanxi,Mainland China,1/23/20 12:00,1.0,,,
Sichuan,Mainland China,1/23/20 12:00,8.0,2.0,,
Taiwan,Taiwan,1/23/20 12:00,1.0,,,
Tianjin,Mainland China,1/23/20 12:00,4.0,,,
Tibet,Mainland China,1/23/20 12:00,,,,
Washington,US,1/23/20 12:00,1.0,,,
Xinjiang,Mainland China,1/23/20 12:00,2.0,,,
Yunnan,Mainland China,1/23/20 12:00,2.0,,,
Zhejiang,Mainland China,1/23/20 12:00,27.0,,,
,Japan,1/23/20 12:00,1.0,,,
,Thailand,1/23/20 12:00,3.0,,,
,South Korea,1/23/20 12:00,1.0,,,
,Singapore ,1/23/20 12:00,1.0,,,
,Philippines,1/23/20 12:00,,4.0,,
,Malaysia,1/23/20 12:00,,4.0,,
,Vietnam,1/23/20 12:00,2.0,,,
,Australia,1/23/20 12:00,,1.0,,
,Mexico,1/23/20 12:00,,1.0,,
,Brazil,1/23/20 12:00,,1.0,,
,Colombia,1/23/20 12:00,,1.0,,
Hubei,Mainland China,1/24/2020  12am,549.0,,31.0,24.0
Guangdong,Mainland China,1/24/2020  12am,53.0,,2.0,
Zhejiang,Mainland China,1/24/2020  12am,43.0,,1.0,
Beijing,Mainland China,1/24/2020  12am,26.0,22.0,,
Shanghai,Mainland China,1/24/2020  12am,20.0,,,
Hunan,Mainland China,1/24/2020  12am,24.0,,,
Anhui,Mainland China,1/24/2020  12am,15.0,4.0,,
Chongqing,Mainland China,1/24/2020  12am,27.0,13.0,,
Sichuan,Mainland China,1/24/2020  12am,15.0,4.0,,
Shandong,Mainland China,1/24/2020  12am,9.0,,,
Guangxi,Mainland China,1/24/2020  12am,13.0,,,
Fujian,Mainland China,1/24/2020  12am,5.0,2.0,,
Jiangsu,Mainland China,1/24/2020  12am,9.0,,,
Henan,Mainland China,1/24/2020  12am,9.0,,,
Hainan,Mainland China,1/24/2020  12am,8.0,32.0,,
Tianjin,Mainland China,1/24/2020  12am,5.0,,,
Jiangxi,Mainland China,1/24/2020  12am,7.0,,,
Shaanxi,Mainland China,1/24/2020  12am,3.0,,,
Guizhou,Mainland China,1/24/2020  12am,3.0,,,
Liaoning,Mainland China,1/24/2020  12am,4.0,,,
Hong Kong,Hong Kong,1/24/2020  12am,2.0,36.0,,
Heilongjiang,Mainland China,1/24/2020  12am,4.0,,,1.0
Macau,Macau,1/24/2020  12am,2.0,,,
Xinjiang,Mainland China,1/24/2020  12am,2.0,,,
Gansu,Mainland China,1/24/2020  12am,2.0,,,
Yunnan,Mainland China,1/24/2020  12am,2.0,,,
Taiwan,Taiwan,1/24/2020  12am,1.0,,,
Shanxi,Mainland China,1/24/2020  12am,1.0,,,
Jilin,Mainland China,1/24/2020  12am,3.0,,,
Hebei,Mainland China,1/24/2020  12am,2.0,,,1.0
Ningxia,Mainland China,1/24/2020  12am,1.0,,,
Inner Mongolia,Mainland China,1/24/2020  12am,1.0,2.0,,
Washington,US,1/24/2020  12am,1.0,,,
,Japan,1/24/2020  12am,2.0,,,
,Thailand,1/24/2020  12am,4.0,,,
,South Korea,1/24/2020  12am,1.0,,,
,Singapore ,1/24/2020  12am,1.0,,,
,Vietnam,1/24/2020  12am,2.0,,,
Hubei,Mainland China,1/24/2020  12pm,549.0,,31.0,24.0
Guangdong,Mainland China,1/24/2020  12pm,53.0,,2.0,
Zhejiang,Mainland China,1/24/2020  12pm,43.0,,1.0,
Beijing,Mainland China,1/24/2020  12pm,36.0,,1.0,
Chongqing,Mainland China,1/24/2020  12pm,27.0,13.0,,
Hunan,Mainland China,1/24/2020  12pm,24.0,,,
Guangxi,Mainland China,1/24/2020  12pm,23.0,,,
Shanghai,Mainland China,1/24/2020  12pm,20.0,22.0,1.0,
Jiangxi,Mainland China,1/24/2020  12pm,18.0,,,
Sichuan,Mainland China,1/24/2020  12pm,15.0,4.0,,
Shandong,Mainland China,1/24/2020  12pm,15.0,,,
Anhui,Mainland China,1/24/2020  12pm,15.0,4.0,,
Fujian,Mainland China,1/24/2020  12pm,10.0,2.0,,
Henan,Mainland China,1/24/2020  12pm,9.0,42.0,,
Jiangsu,Mainland China,1/24/2020  12pm,9.0,,,
Hainan,Mainland China,1/24/2020  12pm,8.0,32.0,,
Tianjin,Mainland China,1/24/2020  12pm,8.0,,,
Yunnan,Mainland China,1/24/2020  12pm,5.0,,,
Shaanxi,Mainland China,1/24/2020  12pm,5.0,,,
Heilongjiang,Mainland China,1/24/2020  12pm,4.0,,,1.0
Liaoning,Mainland China,1/24/2020  12pm,4.0,,,
Guizhou,Mainland China,1/24/2020  12pm,3.0,,,
Jilin,Mainland China,1/24/2020  12pm,3.0,,,
Taiwan,Taiwan,1/24/2020  12pm,3.0,,,
Ningxia,Mainland China,1/24/2020  12pm,2.0,1.0,,
Hong Kong,Hong Kong,1/24/2020  12pm,2.0,36.0,,
Macau,Macau,1/24/2020  12pm,2.0,,,
Hebei,Mainland China,1/24/2020  12pm,2.0,,,1.0
Gansu,Mainland China,1/24/2020  12pm,2.0,,,
Xinjiang,Mainland China,1/24/2020  12pm,2.0,,,
Shanxi,Mainland China,1/24/2020  12pm,1.0,,,
Inner Mongolia,Mainland China,1/24/2020  12pm,1.0,2.0,,
Qinghai,Mainland China,1/24/2020  12pm,,1.0,,
Washington,US,1/24/2020  12pm,1.0,,,
Chicago,US,1/24/2020  12pm,1.0,,,
,Japan,1/24/2020  12pm,2.0,,,
,Thailand,1/24/2020  12pm,5.0,,,
,South Korea,1/24/2020  12pm,2.0,,,
,Singapore ,1/24/2020  12pm,3.0,,,
,Vietnam,1/24/2020  12pm,2.0,,,
,France,1/24/2020  4pm,2.0,,,
Hubei,Mainland China,1/25/2020  12am,729.0,,32.0,39.0
Guangdong,Mainland China,1/25/2020  12am,78.0,,2.0,
Zhejiang,Mainland China,1/25/2020  12am,62.0,,1.0,
Chongqing,Mainland China,1/25/2020  12am,57.0,,,
Hunan,Mainland China,1/25/2020  12am,43.0,,,
Anhui,Mainland China,1/25/2020  12am,39.0,4.0,,
Beijing,Mainland China,1/25/2020  12am,36.0,,1.0,
Shanghai,Mainland China,1/25/2020  12am,33.0,22.0,1.0,
Henan,Mainland China,1/25/2020  12am,32.0,1.0,,
Sichuan,Mainland China,1/25/2020  12am,28.0,4.0,,
Guangxi,Mainland China,1/25/2020  12am,23.0,,,
Shandong,Mainland China,1/25/2020  12am,21.0,,,
Jiangxi,Mainland China,1/25/2020  12am,18.0,,,
Jiangsu,Mainland China,1/25/2020  12am,18.0,,1.0,
Hainan,Mainland China,1/25/2020  12am,17.0,,,
Liaoning,Mainland China,1/25/2020  12am,15.0,,,
Fujian,Mainland China,1/25/2020  12am,10.0,4.0,,
Heilongjiang,Mainland China,1/25/2020  12am,9.0,,,1.0
Tianjin,Mainland China,1/25/2020  12am,8.0,,,
Hebei,Mainland China,1/25/2020  12am,8.0,,,1.0
Shanxi,Mainland China,1/25/2020  12am,6.0,,,
Yunnan,Mainland China,1/25/2020  12am,5.0,,,
Hong Kong,Hong Kong,1/25/2020  12am,5.0,36.0,,
Shaanxi,Mainland China,1/25/2020  12am,5.0,,,
Guizhou,Mainland China,1/25/2020  12am,4.0,,,
Jilin,Mainland China,1/25/2020  12am,4.0,,,
Gansu,Mainland China,1/25/2020  12am,4.0,,,
Ningxia,Mainland China,1/25/2020  12am,3.0,1.0,,
Taiwan,Taiwan,1/25/2020  12am,3.0,,,
Xinjiang,Mainland China,1/25/2020  12am,3.0,,,
Macau,Macau,1/25/2020  12am,2.0,,,
Inner Mongolia,Mainland China,1/25/2020  12am,2.0,,,
Qinghai,Mainland China,1/25/2020  12am,,1.0,,
Washington,US,1/25/2020  12am,1.0,,,
Illinois,US,1/25/2020  12am,1.0,,,
,Japan,1/25/2020  12am,2.0,,,
,Thailand,1/25/2020  12am,5.0,,,
,South Korea,1/25/2020  12am,2.0,,,
,Singapore ,1/25/2020  12am,3.0,,,
,Vietnam,1/25/2020  12am,2.0,,,
,France,1/25/2020  12am,3.0,,,
,Australia,1/25/2020  12am,1.0,,,
,Nepal,1/25/2020  12am,1.0,,,
,Malaysia ,1/25/2020  12am,3.0,,,
Hubei,Mainland China,1/25/2020  12pm,761.0,,32.0,40.0
Guangdong,Mainland China,1/25/2020  12pm,78.0,,2.0,
Zhejiang,Mainland China,1/25/2020  12pm,62.0,,1.0,
Chongqing,Mainland China,1/25/2020  12pm,57.0,,,
Hunan,Mainland China,1/25/2020  12pm,43.0,,,
Beijing,Mainland China,1/25/2020  12pm,41.0,,2.0,
Anhui,Mainland China,1/25/2020  12pm,39.0,4.0,,
Shanghai,Mainland China,1/25/2020  12pm,33.0,72.0,1.0,
Henan,Mainland China,1/25/2020  12pm,32.0,1.0,,
Sichuan,Mainland China,1/25/2020  12pm,28.0,4.0,,
Shandong,Mainland China,1/25/2020  12pm,27.0,,,
Guangxi,Mainland China,1/25/2020  12pm,23.0,,,
Hainan,Mainland China,1/25/2020  12pm,19.0,,,
Jiangxi,Mainland China,1/25/2020  12pm,18.0,,,
Fujian,Mainland China,1/25/2020  12pm,18.0,20.0,,
Jiangsu,Mainland China,1/25/2020  12pm,18.0,,1.0,
Liaoning,Mainland China,1/25/2020  12pm,17.0,,,
Shaanxi,Mainland China,1/25/2020  12pm,15.0,,,
Yunnan,Mainland China,1/25/2020  12pm,11.0,58.0,,
Tianjin,Mainland China,1/25/2020  12pm,10.0,,,
Heilongjiang,Mainland China,1/25/2020  12pm,9.0,,,1.0
Hebei,Mainland China,1/25/2020  12pm,8.0,,,1.0
Inner Mongolia,Mainland China,1/25/2020  12pm,7.0,,,
Shanxi,Mainland China,1/25/2020  12pm,6.0,,,
Hong Kong,Hong Kong,1/25/2020  12pm,5.0,244.0,,
Guizhou,Mainland China,1/25/2020  12pm,4.0,,,
Jilin,Mainland China,1/25/2020  12pm,4.0,,,
Gansu,Mainland China,1/25/2020  12pm,4.0,,,
Ningxia,Mainland China,1/25/2020  12pm,3.0,1.0,,
Taiwan,Taiwan,1/25/2020  12pm,3.0,,,
Xinjiang,Mainland China,1/25/2020  12pm,3.0,,,
Macau,Macau,1/25/2020  12pm,2.0,,,
Qinghai,Mainland China,1/25/2020  12pm,1.0,,,
Washington,US,1/25/2020  12pm,1.0,,,
Illinois,US,1/25/2020  12pm,1.0,,,
,Japan,1/25/2020  12pm,2.0,,,
,Thailand,1/25/2020  12pm,7.0,,,
,South Korea,1/25/2020  12pm,2.0,,,
,Singapore ,1/25/2020  12pm,3.0,,,
,Vietnam,1/25/2020  12pm,2.0,,,
,France,1/25/2020  12pm,3.0,,,
,Australia,1/25/2020  12pm,4.0,,,
,Nepal,1/25/2020  12pm,1.0,,,
,Malaysia ,1/25/2020  12pm,3.0,,,
Hubei,Mainland China,1/25/2020  10pm,1052.0,,42.0,52.0
Zhejiang,Mainland China,1/25/2020  10pm,104.0,,1.0,
Guangdong,Mainland China,1/25/2020  12pm,98.0,,2.0,
Henan,Mainland China,1/25/2020  12pm,83.0,3.0,,1.0
Chongqing,Mainland China,1/25/2020  12pm,75.0,,,
Hunan,Mainland China,1/25/2020  12pm,69.0,,,
Anhui,Mainland China,1/25/2020  12pm,60.0,4.0,,
Beijing,Mainland China,1/25/2020  12pm,51.0,,2.0,
Sichuan,Mainland China,1/25/2020  12pm,44.0,4.0,,
Shanghai,Mainland China,1/25/2020  12pm,40.0,72.0,1.0,1.0
Shandong,Mainland China,1/25/2020  12pm,39.0,,,
Jiangxi,Mainland China,1/25/2020  12pm,36.0,,,
Guangxi,Mainland China,1/25/2020  12pm,33.0,,,
Jiangsu,Mainland China,1/25/2020  12pm,31.0,,1.0,
Hainan,Mainland China,1/25/2020  12pm,19.0,,,
Liaoning,Mainland China,1/25/2020  12pm,19.0,,,
Fujian,Mainland China,1/25/2020  12pm,18.0,20.0,,
Heilongjiang,Mainland China,1/25/2020  12pm,15.0,,,1.0
Shaanxi,Mainland China,1/25/2020  12pm,15.0,,,
Tianjin,Mainland China,1/25/2020  12pm,13.0,,,
Hebei,Mainland China,1/25/2020  12pm,13.0,,,1.0
Yunnan,Mainland China,1/25/2020  12pm,11.0,58.0,,
Shanxi,Mainland China,1/25/2020  12pm,9.0,,,
Inner Mongolia,Mainland China,1/25/2020  12pm,7.0,,,
Gansu,Mainland China,1/25/2020  12pm,7.0,,,
Guizhou,Mainland China,1/25/2020  12pm,5.0,,,
Hong Kong,Hong Kong,1/25/2020  12pm,5.0,244.0,,
Ningxia,Mainland China,1/25/2020  12pm,4.0,1.0,,
Jilin,Mainland China,1/25/2020  12pm,4.0,,,
Xinjiang,Mainland China,1/25/2020  12pm,4.0,,,
Taiwan,Taiwan,1/25/2020  12pm,3.0,,,
Macau,Macau,1/25/2020  12pm,2.0,,,
Qinghai,Mainland China,1/25/2020  12pm,1.0,,,
Washington,US,1/25/2020  12pm,1.0,,,
Illinois,US,1/25/2020  12pm,1.0,,,
,Japan,1/25/2020  12pm,2.0,,,
,Thailand,1/25/2020  12pm,7.0,,,
,South Korea,1/25/2020  12pm,3.0,,,
,Singapore ,1/25/2020  12pm,3.0,,,
,Vietnam,1/25/2020  12pm,2.0,,,
,France,1/25/2020  12pm,3.0,,,
,Australia,1/25/2020  12pm,4.0,,,
,Nepal,1/25/2020  12pm,1.0,,,
,Malaysia ,1/25/2020  12pm,3.0,,,
Hubei,Mainland China,1/26/20 11:00,1058.0,,42.0,52.0
Guangdong,Mainland China,1/26/20 11:00,111.0,,2.0,
Zhejiang,Mainland China,1/26/20 11:00,104.0,,1.0,
Henan,Mainland China,1/26/20 11:00,83.0,3.0,,1.0
Chongqing,Mainland China,1/26/20 11:00,75.0,,,
Hunan,Mainland China,1/26/20 11:00,69.0,,,
Beijing,Mainland China,1/26/20 11:00,68.0,,2.0,
Anhui,Mainland China,1/26/20 11:00,60.0,4.0,,
Shandong,Mainland China,1/26/20 11:00,46.0,,,
Sichuan,Mainland China,1/26/20 11:00,44.0,4.0,,
Shanghai,Mainland China,1/26/20 11:00,40.0,72.0,1.0,1.0
Guangxi,Mainland China,1/26/20 11:00,36.0,,,
Jiangxi,Mainland China,1/26/20 11:00,36.0,,,
Fujian,Mainland China,1/26/20 11:00,35.0,20.0,,
Jiangsu,Mainland China,1/26/20 11:00,33.0,,1.0,
Hainan,Mainland China,1/26/20 11:00,22.0,,,
Shaanxi,Mainland China,1/26/20 11:00,22.0,,,
Liaoning,Mainland China,1/26/20 11:00,21.0,,,
Yunnan,Mainland China,1/26/20 11:00,16.0,36.0,,
Heilongjiang,Mainland China,1/26/20 11:00,15.0,,,1.0
Tianjin,Mainland China,1/26/20 11:00,14.0,,,
Hebei,Mainland China,1/26/20 11:00,13.0,,,1.0
Shanxi,Mainland China,1/26/20 11:00,9.0,,,
Hong Kong,Hong Kong,1/26/20 11:00,8.0,244.0,,
Inner Mongolia,Mainland China,1/26/20 11:00,7.0,,,
Gansu,Mainland China,1/26/20 11:00,7.0,,,
Guizhou,Mainland China,1/26/20 11:00,5.0,,,
Macau,Macau,1/26/20 11:00,5.0,,,
Ningxia,Mainland China,1/26/20 11:00,4.0,,,
Jilin,Mainland China,1/26/20 11:00,4.0,,,
Taiwan,Taiwan,1/26/20 11:00,4.0,,,
Xinjiang,Mainland China,1/26/20 11:00,4.0,,,
Qinghai,Mainland China,1/26/20 11:00,1.0,,,
Washington,US,1/26/20 11:00,1.0,,,
Illinois,US,1/26/20 11:00,1.0,,,
California,US,1/26/20 16:30,2.0,,,
Arizona,US,1/26/20 16:30,1.0,,,
,Japan,1/26/20 11:00,4.0,,1.0,
,Thailand,1/26/20 11:00,8.0,,2.0,
,South Korea,1/26/20 11:00,3.0,,,
,Singapore ,1/26/20 11:00,4.0,,,
,Vietnam,1/26/20 11:00,2.0,,,
,France,1/26/20 11:00,3.0,,,
,Australia,1/26/20 11:00,4.0,,,
,Nepal,1/26/20 11:00,1.0,,,
,Malaysia ,1/26/20 11:00,4.0,,,
Ontario,Canada,1/26/20 11:00,1.0,,,
Hubei,Mainland China,1/26/20 23:00,1423.0,,44.0,76.0
Guangdong,Mainland China,1/26/20 23:00,146.0,,2.0,
Zhejiang,Mainland China,1/26/20 23:00,128.0,,1.0,
Henan,Mainland China,1/26/20 23:00,128.0,,,1.0
Chongqing,Mainland China,1/26/20 23:00,110.0,,,
Hunan,Mainland China,1/26/20 23:00,100.0,,,
Anhui,Mainland China,1/26/20 23:00,70.0,,,
Sichuan,Mainland China,1/26/20 23:00,69.0,,,
Beijing,Mainland China,1/26/20 23:00,68.0,,2.0,
Shandong,Mainland China,1/26/20 23:00,63.0,,,
Shanghai,Mainland China,1/26/20 23:00,53.0,,1.0,1.0
Jiangxi,Mainland China,1/26/20 23:00,48.0,,,
Jiangsu,Mainland China,1/26/20 23:00,47.0,,1.0,
Guangxi,Mainland China,1/26/20 23:00,46.0,,,
Fujian,Mainland China,1/26/20 23:00,35.0,,,
Liaoning,Mainland China,1/26/20 23:00,23.0,,,
Hainan,Mainland China,1/26/20 23:00,22.0,,,
Shaanxi,Mainland China,1/26/20 23:00,22.0,,,
Heilongjiang,Mainland China,1/26/20 23:00,21.0,,,1.0
Yunnan,Mainland China,1/26/20 23:00,19.0,,,
Hebei,Mainland China,1/26/20 23:00,18.0,,,1.0
Tianjin,Mainland China,1/26/20 23:00,14.0,,,
Gansu,Mainland China,1/26/20 23:00,14.0,,,
Shanxi,Mainland China,1/26/20 23:00,13.0,,,
Inner Mongolia,Mainland China,1/26/20 23:00,11.0,,,
Hong Kong,Hong Kong,1/26/20 23:00,8.0,,,
Guizhou,Mainland China,1/26/20 23:00,7.0,,,
Jilin,Mainland China,1/26/20 23:00,6.0,,,
Macau,Macau,1/26/20 23:00,6.0,,,
Xinjiang,Mainland China,1/26/20 23:00,5.0,,,
Ningxia,Mainland China,1/26/20 23:00,4.0,,,
Taiwan,Taiwan,1/26/20 23:00,4.0,,,
Qinghai,Mainland China,1/26/20 23:00,4.0,,,
Washington,US,1/26/20 23:00,1.0,,,
Illinois,US,1/26/20 23:00,1.0,,,
California,US,1/26/20 23:00,2.0,,,
Arizona,US,1/26/20 23:00,1.0,,,
,Japan,1/26/20 23:00,4.0,,1.0,
,Thailand,1/26/20 23:00,8.0,,2.0,
,South Korea,1/26/20 23:00,3.0,,,
,Singapore ,1/26/20 23:00,4.0,,,
,Vietnam,1/26/20 23:00,2.0,,,
,France,1/26/20 23:00,3.0,,,
,Australia,1/26/20 23:00,4.0,,,
,Nepal,1/26/20 23:00,1.0,,,
,Malaysia ,1/26/20 23:00,4.0,,,
Ontario,Canada,1/26/20 23:00,1.0,,,
